seq,variable
0,loc
1, longitude
2, latitude
3, arcgis_ID
4, location_id
5, cont_ID
6, population_total_19
7, population_urban_19
8, population_rural_19
9, MDA8h_urban_warm_19
10, MDA8h_rural_warm_19
11, cvd_25_death_urban_est
12, cvd_25_death_urban_lb
13, cvd_25_death_urban_ub
14, cvd_25_death_rural_est
15, cvd_25_death_rural_lb
16, cvd_25_death_rural_ub
17, location_name
18, year
19, mort_25plus
20, mort_25plus_lb
21, mort_25plus_ub
22, mort_25
23, mort_25_lb
24, mort_25_ub
25, mort_30
26, mort_30_lb
27, mort_30_ub
28, mort_35
29, mort_35_lb
30, mort_35_ub
31, mort_40
32, mort_40_lb
33, mort_40_ub
34, mort_45
35, mort_45_lb
36, mort_45_ub
37, mort_50
38, mort_50_lb
39, mort_50_ub
40, mort_55
41, mort_55_lb
42, mort_55_ub
43, mort_60
44, mort_60_lb
45, mort_60_ub
46, mort_65
47, mort_65_lb
48, mort_65_ub
49, mort_70
50, mort_70_lb
51, mort_70_ub
52, mort_75
53, mort_75_lb
54, mort_75_ub
55, mort_80
56, mort_80_lb
57, mort_80_ub
58, pop_all
59, pop_all_lb
60, pop_all_ub
61, pop_25
62, pop_25_lb
63, pop_25_ub
64, pop_30
65, pop_30_lb
66, pop_30_ub
67, pop_35
68, pop_35_lb
69, pop_35_ub
70, pop_40
71, pop_40_lb
72, pop_40_ub
73, pop_45
74, pop_45_lb
75, pop_45_ub
76, pop_50
77, pop_50_lb
78, pop_50_ub
79, pop_55
80, pop_55_lb
81, pop_55_ub
82, pop_60
83, pop_60_lb
84, pop_60_ub
85, pop_65
86, pop_65_lb
87, pop_65_ub
88, pop_70
89, pop_70_lb
90, pop_70_ub
91, pop_75
92, pop_75_lb
93, pop_75_ub
94, pop_80
95, pop_80_lb
96, pop_80_ub
97, pop_25plus
98, pop_25plus_lb
99, pop_25plus_ub
100, cvd_25_29_death_urban_est
101, cvd_25_29_death_urban_lb
102, cvd_25_29_death_urban_ub
103, cvd_25_29_death_rural_est
104, cvd_25_29_death_rural_lb
105, cvd_25_29_death_rural_ub
106, cvd_30_34_death_urban_est
107, cvd_30_34_death_urban_lb
108, cvd_30_34_death_urban_ub
109, cvd_30_34_death_rural_est
110, cvd_30_34_death_rural_lb
111, cvd_30_34_death_rural_ub
112, cvd_35_39_death_urban_est
113, cvd_35_39_death_urban_lb
114, cvd_35_39_death_urban_ub
115, cvd_35_39_death_rural_est
116, cvd_35_39_death_rural_lb
117, cvd_35_39_death_rural_ub
118, cvd_40_44_death_urban_est
119, cvd_40_44_death_urban_lb
120, cvd_40_44_death_urban_ub
121, cvd_40_44_death_rural_est
122, cvd_40_44_death_rural_lb
123, cvd_40_44_death_rural_ub
124, cvd_45_49_death_urban_est
125, cvd_45_49_death_urban_lb
126, cvd_45_49_death_urban_ub
127, cvd_45_49_death_rural_est
128, cvd_45_49_death_rural_lb
129, cvd_45_49_death_rural_ub
130, cvd_50_54_death_urban_est
131, cvd_50_54_death_urban_lb
132, cvd_50_54_death_urban_ub
133, cvd_50_54_death_rural_est
134, cvd_50_54_death_rural_lb
135, cvd_50_54_death_rural_ub
136, cvd_55_59_death_urban_est
137, cvd_55_59_death_urban_lb
138, cvd_55_59_death_urban_ub
139, cvd_55_59_death_rural_est
140, cvd_55_59_death_rural_lb
141, cvd_55_59_death_rural_ub
142, cvd_60_64_death_urban_est
143, cvd_60_64_death_urban_lb
144, cvd_60_64_death_urban_ub
145, cvd_60_64_death_rural_est
146, cvd_60_64_death_rural_lb
147, cvd_60_64_death_rural_ub
148, cvd_65_69_death_urban_est
149, cvd_65_69_death_urban_lb
150, cvd_65_69_death_urban_ub
151, cvd_65_69_death_rural_est
152, cvd_65_69_death_rural_lb
153, cvd_65_69_death_rural_ub
154, cvd_70_74_death_urban_est
155, cvd_70_74_death_urban_lb
156, cvd_70_74_death_urban_ub
157, cvd_70_74_death_rural_est
158, cvd_70_74_death_rural_lb
159, cvd_70_74_death_rural_ub
160, cvd_75_79_death_urban_est
161, cvd_75_79_death_urban_lb
162, cvd_75_79_death_urban_ub
163, cvd_75_79_death_rural_est
164, cvd_75_79_death_rural_lb
165, cvd_75_79_death_rural_ub
166, cvd_80_death_urban_est
167, cvd_80_death_urban_lb
168, cvd_80_death_urban_ub
169, cvd_80_death_rural_est
170, cvd_80_death_rural_lb
171, cvd_80_death_rural_ub
