country,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
China,74300.0,39800.0,110900.0
India,48900.0,26200.0,73000.0
Russia,19200.0,10300.0,28400.0
United States,11000.0,5900.0,16300.0
Pakistan,7200.0,3800.0,11100.0
Germany,6700.0,3600.0,9700.0
Bangladesh,5200.0,2700.0,7800.0
Ukraine,5100.0,2700.0,7500.0
Japan,4900.0,2600.0,7200.0
Indonesia,4500.0,2400.0,6700.0
Italy,4500.0,2400.0,6700.0
Egypt,4300.0,2300.0,6400.0
Poland,3500.0,1900.0,5300.0
Vietnam,3100.0,1700.0,4800.0
Romania,3100.0,1600.0,4500.0
United Kingdom,3000.0,1600.0,4400.0
Myanmar,2900.0,1500.0,4500.0
Afghanistan,2900.0,1500.0,4700.0
Nigeria,2800.0,1500.0,4500.0
Uzbekistan,2100.0,1100.0,3100.0
Turkey,1800.0,1000.0,2700.0
Ethiopia,1700.0,900.0,2600.0
Thailand,1700.0,900.0,2500.0
Sudan,1700.0,900.0,2700.0
Iran,1600.0,800.0,2400.0
Spain,1600.0,800.0,2300.0
France,1300.0,700.0,2000.0
Morocco,1300.0,700.0,1900.0
Serbia & Montenegro,1300.0,700.0,1900.0
"Congo, DRC",1300.0,700.0,2100.0
Greece,1200.0,600.0,1800.0
Hungary,1200.0,700.0,1800.0
North Korea,1200.0,600.0,1800.0
South Korea,1100.0,600.0,1600.0
Czech Republic,1100.0,600.0,1700.0
Kazakhstan,1100.0,600.0,1600.0
Nepal,1100.0,600.0,1600.0
Algeria,1000.0,500.0,1500.0
Bulgaria,1000.0,500.0,1400.0
Sri Lanka,800.0,400.0,1200.0
Mexico,800.0,400.0,1200.0
South Africa,800.0,400.0,1200.0
Portugal,800.0,500.0,1300.0
Austria,800.0,400.0,1100.0
Georgia,700.0,400.0,1100.0
Iraq,700.0,400.0,1000.0
Brazil,700.0,400.0,1100.0
Philippines,700.0,400.0,1000.0
Slovakia,700.0,400.0,1000.0
Tanzania,600.0,300.0,800.0
Syria,600.0,300.0,1000.0
Yemen,600.0,300.0,900.0
Azerbaijan,600.0,300.0,900.0
Canada,600.0,300.0,1000.0
Croatia,600.0,300.0,900.0
Tajikistan,600.0,300.0,800.0
Belarus,600.0,300.0,900.0
Kyrgyzstan,600.0,300.0,900.0
Kenya,500.0,200.0,700.0
Moldova,500.0,300.0,700.0
Switzerland,500.0,200.0,700.0
Mozambique,400.0,200.0,600.0
Ghana,400.0,200.0,600.0
Cambodia,400.0,200.0,600.0
Netherlands,400.0,200.0,600.0
Haiti,400.0,200.0,600.0
Malaysia,300.0,200.0,500.0
Laos,300.0,100.0,400.0
Lithuania,300.0,100.0,400.0
Madagascar,300.0,200.0,400.0
Sweden,300.0,100.0,400.0
Tunisia,300.0,100.0,400.0
Turkmenistan,300.0,200.0,500.0
Uganda,300.0,200.0,500.0
Rwanda,300.0,100.0,400.0
Zimbabwe,300.0,100.0,400.0
Colombia,300.0,100.0,400.0
Angola,300.0,100.0,500.0
Cameroon,300.0,200.0,500.0
Cuba,300.0,100.0,400.0
Guinea,300.0,100.0,400.0
Bosnia & Herzegovina,300.0,200.0,400.0
Guatemala,200.0,100.0,200.0
Slovenia,200.0,100.0,400.0
Chad,200.0,100.0,300.0
Central African Republic,200.0,100.0,300.0
Burundi,200.0,100.0,400.0
Burkina Faso,200.0,100.0,400.0
Mali,200.0,100.0,300.0
Malawi,200.0,100.0,200.0
Macedonia,200.0,100.0,300.0
Saudi Arabia,200.0,100.0,300.0
Benin,200.0,100.0,300.0
Denmark,200.0,100.0,300.0
Armenia,200.0,100.0,300.0
Albania,200.0,100.0,300.0
Latvia,200.0,100.0,300.0
Argentina,200.0,100.0,300.0
Ireland,200.0,100.0,300.0
Zambia,200.0,100.0,300.0
Cote d'Ivory,200.0,100.0,400.0
Jordan,100.0,0.0,100.0
Senegal,100.0,100.0,200.0
Dominican Republic,100.0,0.0,100.0
Sierra Leone,100.0,100.0,200.0
Jamaica,100.0,0.0,100.0
Somalia,100.0,100.0,200.0
Congo,100.0,0.0,100.0
Chile,100.0,0.0,100.0
Peru,100.0,0.0,100.0
Togo,100.0,100.0,200.0
Bolivia,100.0,0.0,100.0
Belgium,100.0,0.0,100.0
Australia,100.0,100.0,200.0
Venezuela,100.0,0.0,100.0
El Salvador,100.0,0.0,100.0
Lebanon,100.0,0.0,100.0
Paraguay,100.0,0.0,100.0
Eritrea,100.0,0.0,100.0
Mongolia,100.0,100.0,200.0
Mauritania,100.0,0.0,100.0
Finland,100.0,100.0,200.0
Namibia,100.0,0.0,100.0
Libya,100.0,0.0,100.0
Niger,100.0,100.0,200.0
Estonia,100.0,100.0,200.0
Liberia,100.0,0.0,100.0
Norway,100.0,100.0,200.0
Honduras,100.0,0.0,100.0
Lesotho,100.0,0.0,100.0
Luxembourg,0.0,0.0,0.0
Israel,0.0,0.0,100.0
The Bahamas,0.0,0.0,0.0
Timor Leste,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,100.0
Western Sahara,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0
Iceland,0.0,0.0,0.0
Guyana,0.0,0.0,0.0
Belize,0.0,0.0,0.0
