country,pop_rural_25plus,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Bulgaria,1395312.2,681.9,360.6,1045.8,48.9,25.8,74.9
Ukraine,8134974.3,3748.9,1922.9,6122.0,46.1,23.6,75.3
Georgia,1075680.4,459.6,243.2,705.3,42.7,22.6,65.6
Romania,5479712.5,1931.8,1015.4,2999.9,35.3,18.5,54.7
Belarus,1340876.2,447.7,232.7,706.3,33.4,17.4,52.7
Serbia & Montenegro,2644293.4,852.9,451.2,1320.3,32.3,17.1,49.9
Macedonia,487784.8,157.6,80.8,257.0,32.3,16.6,52.7
Latvia,445352.0,143.4,75.8,218.6,32.2,17.0,49.1
Lithuania,661902.0,200.3,105.7,308.0,30.3,16.0,46.5
Moldova,952934.3,276.9,144.4,439.0,29.1,15.2,46.1
North Korea,4819249.0,1373.3,720.7,2150.4,28.5,15.0,44.6
Hungary,2087977.5,567.2,297.6,886.2,27.2,14.3,42.4
Russia,42329369.1,11422.9,6010.7,17699.9,27.0,14.2,41.8
Uzbekistan,6047047.6,1599.5,794.5,2759.6,26.5,13.1,45.6
Greece,2908882.5,762.5,401.9,1178.0,26.2,13.8,40.5
Turkmenistan,1054100.4,271.5,142.9,420.1,25.8,13.6,39.9
Albania,779244.9,201.1,103.6,320.2,25.8,13.3,41.1
Croatia,1135179.7,289.0,150.6,457.5,25.5,13.3,40.3
Kyrgyzstan,1316012.5,333.9,176.9,515.6,25.4,13.4,39.2
Bosnia & Herzegovina,1203183.5,303.0,159.4,473.3,25.2,13.3,39.3
Armenia,555632.4,140.2,73.9,218.7,25.2,13.3,39.4
China,402700496.4,100247.6,52943.8,155761.4,24.9,13.1,38.7
Syria,4088088.2,1019.4,517.6,1677.1,24.9,12.7,41.0
Azerbaijan,1905188.5,453.3,238.6,702.8,23.8,12.5,36.9
Bangladesh,43611810.3,10188.1,5273.0,16269.8,23.4,12.1,37.3
Afghanistan,6073540.4,1411.0,651.2,2694.7,23.2,10.7,44.4
Tajikistan,1580322.5,367.0,192.0,578.9,23.2,12.1,36.6
Estonia,249096.4,57.1,29.9,89.0,22.9,12.0,35.7
Egypt,16745268.0,3819.3,1972.6,6055.5,22.8,11.8,36.2
India,363279276.8,78509.7,41719.4,120454.3,21.6,11.5,33.2
Pakistan,34657945.7,7300.7,3901.3,11034.6,21.1,11.3,31.8
Slovakia,1482547.3,306.5,160.9,476.3,20.7,10.9,32.1
Nepal,10058736.8,2037.0,1066.1,3221.7,20.3,10.6,32.0
Morocco,5366065.7,1085.7,567.6,1702.0,20.2,10.6,31.7
Czech Republic,1882961.1,377.5,199.1,581.8,20.0,10.6,30.9
Lebanon,211615.5,41.4,20.7,69.4,19.6,9.8,32.8
Italy,13605270.6,2611.1,1383.6,3995.9,19.2,10.2,29.4
Kazakhstan,2897353.6,556.5,296.1,842.6,19.2,10.2,29.1
Poland,9046431.1,1731.4,915.6,2653.4,19.1,10.1,29.3
Iraq,3614360.2,684.8,335.4,1205.0,18.9,9.3,33.3
Myanmar,13011939.2,2415.8,1280.5,3696.8,18.6,9.8,28.4
Germany,13336469.1,2375.8,1264.5,3588.8,17.8,9.5,26.9
Tunisia,1756233.4,289.3,149.0,462.1,16.5,8.5,26.3
Laos,1469180.9,238.9,125.5,371.1,16.3,8.5,25.3
Central African Republic,721321.9,116.2,58.9,192.6,16.1,8.2,26.7
Bhutan,304234.9,48.3,25.3,75.0,15.9,8.3,24.6
Slovenia,663429.8,104.4,54.5,163.4,15.7,8.2,24.6
Austria,1762879.9,272.5,144.6,414.5,15.5,8.2,23.5
Finland,530459.9,79.4,42.2,120.7,15.0,8.0,22.8
Iran,9801684.7,1458.4,782.5,2177.6,14.9,8.0,22.2
Yemen,5013781.3,744.7,384.0,1197.6,14.9,7.7,23.9
Portugal,2843433.3,421.4,222.0,651.5,14.8,7.8,22.9
Japan,30352564.0,4411.2,2297.0,6942.0,14.5,7.6,22.9
Sudan,7706175.8,1098.0,569.2,1750.4,14.2,7.4,22.7
United States,31996243.7,4464.2,2353.1,6907.3,14.0,7.4,21.6
Algeria,5049251.7,709.4,369.6,1124.1,14.0,7.3,22.3
Mongolia,425644.8,59.2,30.6,94.6,13.9,7.2,22.2
Vietnam,29585276.6,4022.0,2094.2,6369.8,13.6,7.1,21.5
Lesotho,507431.4,67.5,35.1,107.2,13.3,6.9,21.1
Spain,7014413.0,935.7,497.2,1429.7,13.3,7.1,20.4
Turkey,11601811.5,1509.7,786.0,2389.4,13.0,6.8,20.6
Indonesia,58436769.9,7357.1,3852.0,11513.6,12.6,6.6,19.7
Cuba,1561594.6,194.6,101.9,303.4,12.5,6.5,19.4
Haiti,1389763.5,172.0,85.7,289.2,12.4,6.2,20.8
Cyprus,202380.9,24.8,13.2,38.3,12.2,6.5,18.9
Belgium,209071.5,25.2,13.4,38.3,12.1,6.4,18.3
Sweden,912799.2,108.4,57.5,165.0,11.9,6.3,18.1
Switzerland,1271335.8,149.7,79.2,230.6,11.8,6.2,18.1
Zambia,2277442.6,264.2,137.9,416.9,11.6,6.1,18.3
Dominican Republic,1236587.8,142.8,74.4,227.0,11.5,6.0,18.4
Sri Lanka,9716334.8,1093.4,559.0,1769.9,11.3,5.8,18.2
Timor Leste,271205.7,30.7,16.0,48.3,11.3,5.9,17.8
France,5766427.9,645.7,340.5,996.3,11.2,5.9,17.3
"Congo, DRC",11794930.9,1311.8,616.4,2443.7,11.1,5.2,20.7
Uruguay,135436.1,14.7,7.8,22.7,10.9,5.7,16.7
United Kingdom,7400940.2,796.6,422.6,1212.7,10.8,5.7,16.4
Denmark,455836.8,49.2,26.2,74.6,10.8,5.8,16.4
Israel,365593.3,38.7,20.4,59.6,10.6,5.6,16.3
Cambodia,4411221.2,469.6,243.7,749.6,10.6,5.5,17.0
Ghana,3698695.2,384.5,201.0,603.9,10.4,5.4,16.3
Guinea,1614640.9,167.2,87.7,261.0,10.4,5.4,16.2
Netherlands,1719393.0,177.6,94.0,270.0,10.3,5.5,15.7
Togo,1000530.5,99.7,51.8,158.5,10.0,5.2,15.8
Angola,1966974.2,195.2,102.8,302.7,9.9,5.2,15.4
South Korea,5073920.8,502.4,267.4,767.3,9.9,5.3,15.1
Namibia,463604.3,45.9,23.8,72.4,9.9,5.1,15.6
Luxembourg,45110.9,4.4,2.3,6.7,9.8,5.2,14.9
Jordan,503821.0,49.0,26.2,74.7,9.7,5.2,14.8
Swaziland,288123.2,27.4,14.1,44.0,9.5,4.9,15.3
Malaysia,3448019.2,323.6,167.3,517.6,9.4,4.9,15.0
Jamaica,558835.7,52.0,27.2,81.8,9.3,4.9,14.6
Congo,517523.9,47.4,24.4,76.4,9.2,4.7,14.8
Benin,1330255.4,122.5,64.4,192.3,9.2,4.8,14.5
The Bahamas,22809.0,2.1,1.1,3.3,9.1,4.7,14.3
Zimbabwe,1981415.5,178.0,92.3,282.1,9.0,4.7,14.2
Saudi Arabia,2262355.0,200.6,104.7,317.6,8.9,4.6,14.0
Libya,628138.8,55.3,28.4,89.7,8.8,4.5,14.3
Cameroon,2018153.2,172.6,88.2,281.1,8.6,4.4,13.9
Sierra Leone,982212.5,84.6,43.7,134.6,8.6,4.4,13.7
Ireland,1026580.4,88.1,46.6,133.9,8.6,4.5,13.0
Guinea-Bissau,268226.6,22.8,11.8,36.5,8.5,4.4,13.6
Madagascar,4244052.9,350.8,170.8,618.0,8.3,4.0,14.6
Philippines,17912801.8,1483.4,774.1,2322.4,8.3,4.3,13.0
South Africa,7422462.9,614.0,325.7,934.7,8.3,4.4,12.6
Burundi,2138039.2,175.4,90.6,281.4,8.2,4.2,13.2
Thailand,28113276.2,2297.4,1172.0,3727.6,8.2,4.2,13.3
Botswana,274370.5,21.9,11.2,35.5,8.0,4.1,12.9
Eritrea,1252330.8,99.8,46.8,186.6,8.0,3.7,14.9
Honduras,1221170.8,95.9,50.4,147.7,7.9,4.1,12.1
Chad,1870032.8,148.1,76.9,235.5,7.9,4.1,12.6
Mozambique,3436930.4,267.4,139.5,418.1,7.8,4.1,12.2
Malawi,3350344.2,250.0,132.2,381.5,7.5,3.9,11.4
Mexico,10796993.7,809.7,424.8,1264.3,7.5,3.9,11.7
St. Lucia,59323.5,4.4,2.4,6.6,7.4,4.1,11.2
Burkina Faso,3305452.2,240.4,124.7,383.7,7.3,3.8,11.6
Canada,4163317.9,302.0,160.3,459.8,7.3,3.9,11.0
Tanzania,9681064.3,710.2,372.9,1103.7,7.3,3.9,11.4
Rwanda,2718661.9,191.7,100.3,301.1,7.1,3.7,11.1
El Salvador,845407.1,59.5,30.4,96.7,7.0,3.6,11.4
Senegal,2073087.1,144.9,75.4,227.8,7.0,3.6,11.0
Oman,270674.6,18.8,10.1,28.2,7.0,3.7,10.4
Norway,606535.1,42.0,22.2,63.9,6.9,3.7,10.5
Venezuela,771727.7,52.5,27.0,84.0,6.8,3.5,10.9
Paraguay,966186.8,65.7,33.1,109.7,6.8,3.4,11.4
Mali,2510206.9,170.7,88.6,271.3,6.8,3.5,10.8
Nigeria,20771224.7,1394.2,722.9,2207.8,6.7,3.5,10.6
Uganda,7360237.8,484.7,253.1,759.3,6.6,3.4,10.3
Niger,3168455.4,210.1,109.4,332.7,6.6,3.5,10.5
Somalia,1349340.5,86.5,41.5,155.8,6.4,3.1,11.5
Gabon,69396.8,4.4,2.3,6.9,6.4,3.3,10.0
Liberia,711270.4,43.7,22.4,71.0,6.2,3.2,10.0
Cote d'Ivory,2582917.3,160.9,83.4,254.8,6.2,3.2,9.9
Mauritania,623405.7,38.1,19.8,60.3,6.1,3.2,9.7
Ethiopia,18363870.4,1119.2,583.3,1767.5,6.1,3.2,9.6
Nicaragua,844134.3,50.8,26.3,80.9,6.0,3.1,9.6
Djibouti,67920.6,4.1,2.1,6.6,6.0,3.1,9.7
Kuwait,8609.9,0.5,0.3,0.8,5.9,3.1,9.1
Argentina,1364681.2,79.3,41.9,122.0,5.8,3.1,8.9
Western Sahara,91393.5,5.3,2.8,8.0,5.8,3.1,8.8
Kenya,9613781.8,554.6,288.8,874.7,5.8,3.0,9.1
Belize,58342.0,3.2,1.7,5.0,5.5,2.9,8.6
French Guiana,23346.8,1.3,0.7,2.0,5.5,2.9,8.7
Bolivia,1242079.6,68.5,34.7,111.9,5.5,2.8,9.0
United Arab Emirates,747666.3,39.6,19.9,66.0,5.3,2.7,8.8
