country,pop_urban_25plus,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub
Afghanistan,905047.7,322.5,166.9,513.2,35.6,18.4,56.7
Hungary,4313708.1,1121.1,605.6,1661.7,26.0,14.0,38.5
Bulgaria,3747807.8,880.5,467.5,1315.2,23.5,12.5,35.1
Croatia,1463742.3,326.5,173.8,484.8,22.3,11.9,33.1
Greece,3840841.4,795.1,420.1,1189.1,20.7,10.9,31.0
Romania,6685039.3,1369.3,735.1,2038.0,20.5,11.0,30.5
Georgia,1266517.8,254.0,132.2,379.2,20.1,10.4,29.9
United States,126391749.4,25082.4,13503.0,37256.7,19.8,10.7,29.5
Czech Republic,4076279.3,807.7,431.3,1203.2,19.8,10.6,29.5
Slovenia,603879.1,112.1,57.4,177.6,18.6,9.5,29.4
Ukraine,21119663.5,3936.4,2107.8,5858.1,18.6,10.0,27.7
Italy,24625911.2,4559.7,2449.3,6770.7,18.5,9.9,27.5
Macedonia,562148.4,100.6,54.4,149.7,17.9,9.7,26.6
Slovakia,1434295.8,244.5,132.3,358.2,17.0,9.2,25.0
Austria,3337597.4,559.1,296.5,831.7,16.8,8.9,24.9
Tajikistan,506693.0,83.6,45.1,123.9,16.5,8.9,24.5
Moldova,983400.8,159.6,86.1,235.5,16.2,8.8,23.9
Kyrgyzstan,605664.7,97.1,51.4,144.8,16.0,8.5,23.9
Uzbekistan,2777844.6,444.9,237.4,659.2,16.0,8.5,23.7
Serbia & Montenegro,3519279.8,543.0,289.8,812.7,15.4,8.2,23.1
Switzerland,3105600.4,460.3,246.9,688.2,14.8,8.0,22.2
Luxembourg,144326.9,21.4,11.6,31.7,14.8,8.0,21.9
Lebanon,1311922.4,182.0,95.7,291.9,13.9,7.3,22.3
Syria,2331386.4,317.6,166.2,495.0,13.6,7.1,21.2
Central African Republic,296747.4,38.4,20.1,59.3,12.9,6.8,20.0
Israel,1817056.4,227.2,120.7,340.2,12.5,6.6,18.7
Turkmenistan,715660.6,89.5,47.4,132.5,12.5,6.6,18.5
Belgium,6396972.3,793.9,422.3,1188.2,12.4,6.6,18.6
Albania,622877.6,74.1,39.9,110.4,11.9,6.4,17.7
Germany,40518773.2,4836.6,2602.0,7093.3,11.9,6.4,17.5
Poland,12262858.9,1438.1,768.6,2147.7,11.7,6.3,17.5
Azerbaijan,1625587.0,190.0,101.2,283.1,11.7,6.2,17.4
Pakistan,12952847.9,1507.9,795.5,2336.2,11.6,6.1,18.0
Kazakhstan,3667314.6,418.9,224.6,622.0,11.4,6.1,17.0
Bosnia & Herzegovina,881783.3,98.6,52.9,146.7,11.2,6.0,16.6
Egypt,9259883.7,1015.3,536.1,1524.1,11.0,5.8,16.5
North Korea,6388581.2,672.1,352.5,1046.5,10.5,5.5,16.4
Jordan,625658.9,63.4,33.8,96.5,10.1,5.4,15.4
South Korea,19177512.4,1936.1,1034.4,2891.8,10.1,5.4,15.1
Armenia,976961.1,99.1,53.0,148.1,10.1,5.4,15.2
Algeria,5983201.0,602.4,316.4,935.3,10.1,5.3,15.6
Iran,13836845.3,1399.5,751.1,2101.0,10.1,5.4,15.2
Cyprus,303064.8,30.5,16.4,45.9,10.0,5.4,15.2
