country,population_rural_19,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Bulgaria,1830089,681.9,360.6,1045.8,37.3,19.7,57.1
Ukraine,12126310,3748.9,1922.9,6122.0,30.9,15.9,50.5
Georgia,1748697,459.6,243.2,705.3,26.3,13.9,40.3
Romania,7751848,1931.8,1015.4,2999.9,24.9,13.1,38.7
Latvia,631715,143.4,75.8,218.6,22.7,12.0,34.6
Belarus,2056343,447.7,232.7,706.3,21.8,11.3,34.3
Serbia & Montenegro,3945529,852.9,451.2,1320.3,21.6,11.4,33.5
Lithuania,950637,200.3,105.7,308.0,21.1,11.1,32.4
Macedonia,768532,157.6,80.8,257.0,20.5,10.5,33.4
Hungary,2857014,567.2,297.6,886.2,19.9,10.4,31.0
Greece,3869589,762.5,401.9,1178.0,19.7,10.4,30.4
Croatia,1581566,289.0,150.6,457.5,18.3,9.5,28.9
Moldova,1520564,276.9,144.4,439.0,18.2,9.5,28.9
Bosnia & Herzegovina,1739022,303.0,159.4,473.3,17.4,9.2,27.2
Russia,66277708,11422.9,6010.7,17699.9,17.2,9.1,26.7
North Korea,8613389,1373.3,720.7,2150.4,15.9,8.4,25.0
Estonia,362064,57.1,29.9,89.0,15.8,8.2,24.6
China,638932619,100247.6,52943.8,155761.4,15.7,8.3,24.4
Albania,1288974,201.1,103.6,320.2,15.6,8.0,24.8
Czech Republic,2551487,377.5,199.1,581.8,14.8,7.8,22.8
Italy,17675108,2611.1,1383.6,3995.9,14.8,7.8,22.6
Armenia,988542,140.2,73.9,218.7,14.2,7.5,22.1
Slovakia,2182845,306.5,160.9,476.3,14.0,7.4,21.8
Poland,13121887,1731.4,915.6,2653.4,13.2,7.0,20.2
Germany,18652386,2375.8,1264.5,3588.8,12.7,6.8,19.2
Japan,37110884,4411.2,2297.0,6942.0,11.9,6.2,18.7
Slovenia,914649,104.4,54.5,163.4,11.4,6.0,17.9
Portugal,3753417,421.4,222.0,651.5,11.2,5.9,17.4
Syria,9212720,1019.4,517.6,1677.1,11.1,5.6,18.2
Azerbaijan,4111949,453.3,238.6,702.8,11.0,5.8,17.1
Finland,725584,79.4,42.2,120.7,10.9,5.8,16.6
Austria,2540355,272.5,144.6,414.5,10.7,5.7,16.3
Turkmenistan,2676211,271.5,142.9,420.1,10.1,5.3,15.7
Spain,9504710,935.7,497.2,1429.7,9.8,5.2,15.0
Uzbekistan,16885748,1599.5,794.5,2759.6,9.5,4.7,16.3
Bangladesh,107617044,10188.1,5273.0,16269.8,9.5,4.9,15.1
Kyrgyzstan,3689855,333.9,176.9,515.6,9.0,4.8,14.0
Lebanon,458750,41.4,20.7,69.4,9.0,4.5,15.1
India,884594416,78509.7,41719.4,120454.3,8.9,4.7,13.6
Morocco,12247096,1085.7,567.6,1702.0,8.9,4.6,13.9
United States,50657951,4464.2,2353.1,6907.3,8.8,4.6,13.6
Kazakhstan,6414236,556.5,296.1,842.6,8.7,4.6,13.1
Tunisia,3379869,289.3,149.0,462.1,8.6,4.4,13.7
Cuba,2366384,194.6,101.9,303.4,8.2,4.3,12.8
Belgium,306485,25.2,13.4,38.3,8.2,4.4,12.5
Switzerland,1820831,149.7,79.2,230.6,8.2,4.3,12.7
Sweden,1337038,108.4,57.5,165.0,8.1,4.3,12.3
Egypt,47510539,3819.3,1972.6,6055.5,8.0,4.2,12.7
Myanmar,30444055,2415.8,1280.5,3696.8,7.9,4.2,12.1
Cyprus,323771,24.8,13.2,38.3,7.7,4.1,11.8
France,8463389,645.7,340.5,996.3,7.6,4.0,11.8
Denmark,656863,49.2,26.2,74.6,7.5,4.0,11.4
Nepal,27669346,2037.0,1066.1,3221.7,7.4,3.9,11.6
Netherlands,2458512,177.6,94.0,270.0,7.2,3.8,11.0
Tajikistan,5130256,367.0,192.0,578.9,7.2,3.7,11.3
United Kingdom,11146160,796.6,422.6,1212.7,7.1,3.8,10.9
Iran,20954505,1458.4,782.5,2177.6,7.0,3.7,10.4
South Korea,7258491,502.4,267.4,767.3,6.9,3.7,10.6
Turkey,22326846,1509.7,786.0,2389.4,6.8,3.5,10.7
Vietnam,61014920,4022.0,2094.2,6369.8,6.6,3.4,10.4
Uruguay,231929,14.7,7.8,22.7,6.3,3.4,9.8
Luxembourg,70159,4.4,2.3,6.7,6.3,3.3,9.6
Bhutan,783622,48.3,25.3,75.0,6.2,3.2,9.6
Sri Lanka,18302253,1093.4,559.0,1769.9,6.0,3.1,9.7
Algeria,11912286,709.4,369.6,1124.1,6.0,3.1,9.4
Pakistan,123836245,7300.7,3901.3,11034.6,5.9,3.2,8.9
Iraq,11603860,684.8,335.4,1205.0,5.9,2.9,10.4
Indonesia,129337094,7357.1,3852.0,11513.6,5.7,3.0,8.9
Mongolia,1060903,59.2,30.6,94.6,5.6,2.9,8.9
Laos,4362066,238.9,125.5,371.1,5.5,2.9,8.5
Thailand,43729943,2297.4,1172.0,3727.6,5.3,2.7,8.5
Ireland,1652795,88.1,46.6,133.9,5.3,2.8,8.1
Israel,723685,38.7,20.4,59.6,5.3,2.8,8.2
Afghanistan,28941708,1411.0,651.2,2694.7,4.9,2.3,9.3
Canada,6132119,302.0,160.3,459.8,4.9,2.6,7.5
Dominican Republic,2987697,142.8,74.4,227.0,4.8,2.5,7.6
The Bahamas,45087,2.1,1.1,3.3,4.6,2.4,7.2
Norway,921517,42.0,22.2,63.9,4.6,2.4,6.9
Jamaica,1186731,52.0,27.2,81.8,4.4,2.3,6.9
Lesotho,1544508,67.5,35.1,107.2,4.4,2.3,6.9
Malaysia,8043054,323.6,167.3,517.6,4.0,2.1,6.4
Central African Republic,2907214,116.2,58.9,192.6,4.0,2.0,6.6
Libya,1387017,55.3,28.4,89.7,4.0,2.0,6.5
Cambodia,11957729,469.6,243.7,749.6,3.9,2.0,6.3
Haiti,4361116,172.0,85.7,289.2,3.9,2.0,6.6
Yemen,19434389,744.7,384.0,1197.6,3.8,2.0,6.2
Sudan,28792732,1098.0,569.2,1750.4,3.8,2.0,6.1
Saudi Arabia,5346082,200.6,104.7,317.6,3.8,2.0,5.9
St. Lucia,122169,4.4,2.4,6.6,3.6,2.0,5.4
Puerto Rico,9989,0.4,0.2,0.6,3.5,1.8,5.7
Mexico,23863506,809.7,424.8,1264.3,3.4,1.8,5.3
South Africa,18093667,614.0,325.7,934.7,3.4,1.8,5.2
Timor Leste,916583,30.7,16.0,48.3,3.3,1.7,5.3
Jordan,1470381,49.0,26.2,74.7,3.3,1.8,5.1
Venezuela,1569362,52.5,27.0,84.0,3.3,1.7,5.4
United Arab Emirates,1266579,39.6,19.9,66.0,3.1,1.6,5.2
Ghana,12562048,384.5,201.0,603.9,3.1,1.6,4.8
Namibia,1474306,45.9,23.8,72.4,3.1,1.6,4.9
Argentina,2675220,79.3,41.9,122.0,3.0,1.6,4.6
El Salvador,2011350,59.5,30.4,96.7,3.0,1.5,4.8
Philippines,49105822,1483.4,774.1,2322.4,3.0,1.6,4.7
Iceland,12624,0.4,0.2,0.6,2.9,1.5,4.5
Botswana,774185,21.9,11.2,35.5,2.8,1.4,4.6
Togo,3592708,99.7,51.8,158.5,2.8,1.4,4.4
Congo,1673638,47.4,24.4,76.4,2.8,1.5,4.6
Kuwait,18061,0.5,0.3,0.8,2.8,1.5,4.3
New Zealand,569295,15.3,8.1,23.6,2.7,1.4,4.2
Brazil,24058331,638.7,336.9,983.6,2.7,1.4,4.1
"Congo, DRC",49449042,1311.8,616.4,2443.7,2.7,1.2,4.9
Australia,2421681,65.9,34.8,100.8,2.7,1.4,4.2
Swaziland,1002856,27.4,14.1,44.0,2.7,1.4,4.4
Zambia,9916127,264.2,137.9,416.9,2.7,1.4,4.2
Paraguay,2467203,65.7,33.1,109.7,2.7,1.3,4.4
Honduras,3786823,95.9,50.4,147.7,2.5,1.3,3.9
Guinea,6867982,167.2,87.7,261.0,2.4,1.3,3.8
Chile,1626959,38.4,20.4,57.8,2.4,1.3,3.6
Costa Rica,1637223,38.9,20.1,62.3,2.4,1.2,3.8
Zimbabwe,7320060,178.0,92.3,282.1,2.4,1.3,3.9
Oman,787495,18.8,10.1,28.2,2.4,1.3,3.6
Colombia,10846540,246.0,127.6,387.7,2.3,1.2,3.6
Greenland,56999,1.3,0.7,1.9,2.2,1.2,3.4
Nicaragua,2341530,50.8,26.3,80.9,2.2,1.1,3.5
French Guiana,57875,1.3,0.7,2.0,2.2,1.2,3.5
Angola,8723895,195.2,102.8,302.7,2.2,1.2,3.5
Brunei,111644,2.4,1.3,3.7,2.2,1.1,3.4
Cameroon,8263676,172.6,88.2,281.1,2.1,1.1,3.4
Benin,5921164,122.5,64.4,192.3,2.1,1.1,3.2
Madagascar,16866307,350.8,170.8,618.0,2.1,1.0,3.7
Sierra Leone,3966897,84.6,43.7,134.6,2.1,1.1,3.4
Gabon,212220,4.4,2.3,6.9,2.1,1.1,3.3
Belize,162997,3.2,1.7,5.0,2.0,1.0,3.1
Bolivia,3357179,68.5,34.7,111.9,2.0,1.0,3.3
Guinea-Bissau,1159704,22.8,11.8,36.5,2.0,1.0,3.1
