country,population_urban_19,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub
Bulgaria,5335650,1068.5,561.6,1642.6,20.0,10.5,30.8
China,768434520,116605.3,61636.3,181045.9,15.2,8.0,23.6
Georgia,2423755,336.4,177.6,518.8,13.9,7.3,21.4
Greece,7577591,894.1,469.5,1387.5,11.8,6.2,18.3
Ukraine,31035844,3577.1,1833.9,5860.3,11.5,5.9,18.9
North Korea,16387290,1834.0,961.8,2881.0,11.2,5.9,17.6
Croatia,2680081,296.7,155.9,475.6,11.1,5.8,17.7
Hungary,6907829,765.7,396.0,1199.5,11.1,5.7,17.4
Serbia & Montenegro,6344607,693.3,363.7,1075.5,10.9,5.7,17.0
Bosnia & Herzegovina,2032729,204.4,106.6,320.2,10.1,5.2,15.8
Japan,87873584,8447.6,4390.7,13314.7,9.6,5.0,15.2
Italy,43911768,4115.3,2159.0,6315.1,9.4,4.9,14.4
Macedonia,1407517,132.5,66.7,218.9,9.4,4.7,15.5
Albania,1942351,176.5,90.9,283.1,9.1,4.7,14.6
Czech Republic,8437052,695.9,366.9,1074.2,8.2,4.3,12.7
Bangladesh,55996448,4540.3,2352.9,7235.9,8.1,4.2,12.9
India,483634131,38653.3,20552.7,59341.1,8.0,4.2,12.3
Romania,13021999,1001.8,527.0,1562.7,7.7,4.0,12.0
Slovenia,1247910,91.7,48.1,143.7,7.4,3.9,11.5
Slovakia,3420020,252.9,132.8,394.9,7.4,3.9,11.5
Armenia,2080785,152.1,79.1,237.8,7.3,3.8,11.4
Syria,14739556,1066.6,542.1,1761.4,7.2,3.7,11.9
Portugal,7168422,511.7,269.9,794.2,7.1,3.8,11.1
Lebanon,3918518,269.1,132.2,453.8,6.9,3.4,11.6
Nepal,7665077,513.9,268.0,812.4,6.7,3.5,10.6
Poland,25206949,1526.5,803.5,2348.0,6.1,3.2,9.3
Austria,6144238,373.2,197.5,569.7,6.1,3.2,9.3
Uzbekistan,12279936,736.6,366.1,1278.6,6.0,3.0,10.4
United States,282421176,16905.7,8909.3,26227.7,6.0,3.2,9.3
Germany,63811079,3811.7,2021.7,5777.1,6.0,3.2,9.1
Turkmenistan,3012227,177.3,93.0,275.2,5.9,3.1,9.1
Morocco,22351915,1302.7,681.7,2041.7,5.8,3.0,9.1
Azerbaijan,5836884,332.5,174.6,519.1,5.7,3.0,8.9
Egypt,45830593,2575.2,1332.1,4093.3,5.6,2.9,8.9
Spain,39108156,2111.2,1113.4,3240.9,5.4,2.8,8.3
Pakistan,83919431,4528.2,2418.6,6846.3,5.4,2.9,8.2
Switzerland,6187702,327.9,172.4,506.0,5.3,2.8,8.2
Cyprus,909704,46.9,24.6,72.5,5.2,2.7,8.0
Tunisia,8007360,407.7,209.0,653.9,5.1,2.6,8.2
Iraq,28021581,1386.8,678.2,2444.4,4.9,2.4,8.7
Bhutan,277371,13.5,7.1,20.9,4.9,2.6,7.5
Kyrgyzstan,2293843,112.7,59.2,174.7,4.9,2.6,7.6
Kazakhstan,11277677,528.9,280.5,802.2,4.7,2.5,7.1
Belarus,7198521,339.8,176.5,539.0,4.7,2.5,7.5
Tajikistan,2466278,116.1,60.3,182.2,4.7,2.4,7.4
Russia,218046696,10132.6,5322.7,15753.5,4.6,2.4,7.2
Iran,60699457,2762.8,1478.3,4137.3,4.6,2.4,6.8
Turkey,57852556,2543.4,1321.5,4035.0,4.4,2.3,7.0
Algeria,28181421,1219.7,633.8,1937.9,4.3,2.2,6.9
Moldova,1717615,72.2,37.5,115.8,4.2,2.2,6.7
Lithuania,2251564,92.0,47.7,142.5,4.1,2.1,6.3
South Korea,42060535,1711.7,905.6,2608.5,4.1,2.2,6.2
Israel,8341836,323.5,171.4,498.7,3.9,2.1,6.0
Indonesia,130210025,4918.9,2567.2,7675.7,3.8,2.0,5.9
Belgium,11130150,417.2,220.7,632.8,3.7,2.0,5.7
Latvia,1512590,54.1,28.1,82.9,3.6,1.9,5.5
Laos,2598355,90.4,47.5,140.8,3.5,1.8,5.4
France,57352563,2024.7,1063.5,3138.7,3.5,1.9,5.5
Vietnam,34262214,1200.6,622.9,1906.3,3.5,1.8,5.6
Afghanistan,10929518,366.8,167.5,696.9,3.4,1.5,6.4
Myanmar,19626185,591.6,311.1,911.2,3.0,1.6,4.6
Thailand,28769954,826.7,423.6,1345.4,2.9,1.5,4.7
Netherlands,14523152,426.0,226.3,647.8,2.9,1.6,4.5
Luxembourg,415096,11.6,6.1,18.0,2.8,1.5,4.3
Estonia,937291,26.0,13.6,40.3,2.8,1.5,4.3
Mexico,100908159,2776.3,1454.0,4345.2,2.8,1.4,4.3
Libya,5982758,164.4,84.1,265.9,2.7,1.4,4.4
Cuba,8732585,228.0,121.5,356.9,2.6,1.4,4.1
Saudi Arabia,28878458,730.7,379.6,1158.7,2.5,1.3,4.0
Jordan,6380730,159.5,83.1,243.6,2.5,1.3,3.8
Canada,31558638,781.1,410.6,1192.6,2.5,1.3,3.8
United Arab Emirates,8810016,216.4,108.0,361.4,2.5,1.2,4.1
Denmark,5125857,126.8,66.8,193.1,2.5,1.3,3.8
Mongolia,2074647,50.9,26.1,81.7,2.5,1.3,3.9
Sri Lanka,3978070,94.7,48.7,154.6,2.4,1.2,3.9
Central African Republic,1935753,46.1,23.2,77.3,2.4,1.2,4.0
Kuwait,3550506,80.1,43.0,125.8,2.3,1.2,3.5
Sweden,8777882,186.5,98.1,284.2,2.1,1.1,3.2
Togo,3446468,61.8,32.4,97.8,1.8,0.9,2.8
Malaysia,25088875,404.8,208.2,651.5,1.6,0.8,2.6
Finland,4863070,75.7,39.9,115.0,1.6,0.8,2.4
Cambodia,3764078,59.0,30.0,94.0,1.6,0.8,2.5
Oman,2706835,44.2,23.5,66.7,1.6,0.9,2.5
Zambia,6766956,109.4,57.1,172.2,1.6,0.8,2.5
Lesotho,813568,12.7,6.6,20.2,1.6,0.8,2.5
The Bahamas,336794,5.1,2.7,8.1,1.5,0.8,2.4
Ghana,17044409,247.8,128.6,389.9,1.5,0.8,2.3
Benin,5437572,73.5,38.8,115.4,1.4,0.7,2.1
Guatemala,9464423,128.8,65.8,212.3,1.4,0.7,2.2
United Kingdom,54584289,727.3,386.0,1115.5,1.3,0.7,2.0
Norway,4449052,56.8,29.9,86.7,1.3,0.7,1.9
South Africa,36172885,463.1,244.9,706.4,1.3,0.7,2.0
Brazil,185177244,2094.1,1100.5,3231.5,1.1,0.6,1.7
Guinea,4730857,52.3,27.4,81.8,1.1,0.6,1.7
"Congo, DRC",34825023,341.0,159.4,635.7,1.0,0.5,1.8
Haiti,6537070,64.9,32.5,108.8,1.0,0.5,1.7
Sierra Leone,3130915,28.1,14.5,44.9,0.9,0.5,1.4
Cameroon,14914410,128.1,65.2,209.2,0.9,0.4,1.4
Botswana,1433255,13.1,6.6,21.3,0.9,0.5,1.5
Sudan,24286761,225.7,116.1,361.8,0.9,0.5,1.5
Angola,15919348,148.5,78.0,230.8,0.9,0.5,1.4
Qatar,2394529,20.3,10.5,32.1,0.8,0.4,1.3
Swaziland,380589,3.2,1.6,5.1,0.8,0.4,1.3
Congo,3306284,25.0,12.7,40.3,0.8,0.4,1.2
Western Sahara,1974,0.0,0.0,0.0,0.8,0.4,1.3
Yemen,12019359,90.5,46.4,144.9,0.8,0.4,1.2
Nigeria,110042538,792.3,409.3,1256.5,0.7,0.4,1.1
Chile,16775768,121.6,64.5,184.2,0.7,0.4,1.1
Dominican Republic,8026971,57.3,29.6,91.5,0.7,0.4,1.1
Cote d'Ivory,12892342,71.1,36.6,113.0,0.6,0.3,0.9
Burundi,1605059,9.8,5.1,15.8,0.6,0.3,1.0
El Salvador,4384505,26.7,13.7,43.5,0.6,0.3,1.0
Gabon,1520717,9.0,4.8,14.3,0.6,0.3,0.9
Belize,199860,1.0,0.5,1.5,0.5,0.3,0.7
Chad,4854078,21.9,11.4,35.0,0.5,0.2,0.7
Zimbabwe,5706221,28.4,14.7,45.3,0.5,0.3,0.8
Namibia,1156823,5.3,2.8,8.4,0.5,0.2,0.7
Liberia,3044998,12.1,6.2,19.8,0.4,0.2,0.6
Honduras,5041677,18.6,9.9,28.8,0.4,0.2,0.6
Guinea-Bissau,723007,2.7,1.4,4.3,0.4,0.2,0.6
Bolivia,7862558,30.5,15.4,49.9,0.4,0.2,0.6
Eritrea,1765974,7.8,3.7,14.7,0.4,0.2,0.8
Ireland,3387938,8.5,4.5,13.0,0.3,0.1,0.4
Rwanda,3071136,10.2,5.3,16.1,0.3,0.2,0.5
Equatorial Guinea,375415,1.1,0.5,1.7,0.3,0.1,0.5
Iceland,351461,0.5,0.3,0.8,0.2,0.1,0.2
Argentina,41115736,98.9,52.0,152.0,0.2,0.1,0.4
