M49C,urban,rural,year
Africa,43.4,60.3,1990
Americas,39.2,51.1,1990
Asia,47.3,59.9,1990
Europe,44.7,56.4,1990
Oceania,30.8,42.2,1990
Africa,42.8,60.2,1991
Americas,39.2,51.0,1991
Asia,47.4,59.8,1991
Europe,44.3,56.0,1991
Oceania,31.7,43.3,1991
Africa,42.7,60.3,1992
Americas,39.0,51.2,1992
Asia,47.0,59.6,1992
Europe,43.7,55.7,1992
Oceania,30.2,41.8,1992
Africa,42.6,60.5,1993
Americas,39.9,51.6,1993
Asia,46.8,59.5,1993
Europe,43.6,55.4,1993
Oceania,30.7,42.1,1993
Africa,43.1,60.6,1994
Americas,40.9,52.2,1994
Asia,47.9,60.2,1994
Europe,43.2,55.1,1994
Oceania,31.5,43.0,1994
Africa,43.1,60.6,1995
Americas,41.9,53.0,1995
Asia,47.5,59.9,1995
Europe,43.2,55.1,1995
Oceania,31.1,42.8,1995
Africa,43.5,61.1,1996
Americas,41.0,52.3,1996
Asia,48.0,60.3,1996
Europe,43.7,55.6,1996
Oceania,31.1,42.3,1996
Africa,43.6,61.1,1997
Americas,41.4,52.6,1997
Asia,48.5,60.8,1997
Europe,43.4,55.4,1997
Oceania,32.8,44.3,1997
Africa,44.7,61.8,1998
Americas,43.3,53.9,1998
Asia,49.1,61.2,1998
Europe,44.2,55.9,1998
Oceania,31.3,42.8,1998
Africa,44.2,61.3,1999
Americas,42.8,53.4,1999
Asia,48.5,60.7,1999
Europe,43.9,55.6,1999
Oceania,32.8,43.9,1999
Africa,43.7,60.9,2000
Americas,40.8,51.9,2000
Asia,48.7,60.8,2000
Europe,43.1,54.9,2000
Oceania,31.9,43.5,2000
Africa,44.4,61.4,2001
Americas,41.2,52.2,2001
Asia,48.8,60.8,2001
Europe,44.0,55.5,2001
Oceania,32.8,44.1,2001
Africa,44.4,61.3,2002
Americas,41.6,52.5,2002
Asia,49.9,61.4,2002
Europe,44.8,55.8,2002
Oceania,32.4,43.7,2002
Africa,44.2,60.8,2003
Americas,42.0,52.5,2003
Asia,50.6,61.9,2003
Europe,45.7,56.3,2003
Oceania,32.3,43.1,2003
Africa,44.5,60.6,2004
Americas,41.9,52.1,2004
Asia,50.7,61.5,2004
Europe,44.8,55.6,2004
Oceania,32.8,43.7,2004
Africa,45.2,60.4,2005
Americas,42.7,52.3,2005
Asia,50.8,61.3,2005
Europe,44.4,54.7,2005
Oceania,31.8,43.0,2005
Africa,44.9,59.3,2006
Americas,41.5,51.4,2006
Asia,51.6,61.7,2006
Europe,45.5,55.6,2006
Oceania,32.6,43.0,2006
Africa,45.4,59.4,2007
Americas,43.1,52.5,2007
Asia,51.6,61.6,2007
Europe,44.3,54.3,2007
Oceania,32.4,43.1,2007
Africa,45.2,58.8,2008
Americas,41.2,50.8,2008
Asia,52.2,61.8,2008
Europe,45.5,55.3,2008
Oceania,31.8,42.7,2008
Africa,45.5,58.6,2009
Americas,39.7,49.7,2009
Asia,51.8,61.3,2009
Europe,44.1,53.9,2009
Oceania,32.1,42.3,2009
Africa,45.1,57.9,2010
Americas,42.3,51.3,2010
Asia,52.1,61.6,2010
Europe,44.5,54.4,2010
Oceania,31.5,42.7,2010
Africa,45.9,58.4,2011
Americas,40.7,50.3,2011
Asia,51.8,61.2,2011
Europe,44.0,53.8,2011
Oceania,32.6,43.1,2011
Africa,45.0,57.8,2012
Americas,42.1,51.4,2012
Asia,53.0,62.2,2012
Europe,45.0,54.7,2012
Oceania,32.4,43.0,2012
Africa,45.2,58.1,2013
Americas,40.3,50.0,2013
Asia,52.6,61.7,2013
Europe,44.5,54.4,2013
Oceania,31.8,42.7,2013
Africa,45.5,58.1,2014
Americas,41.1,50.5,2014
Asia,52.8,61.8,2014
Europe,44.0,53.9,2014
Oceania,32.2,43.0,2014
Africa,44.5,58.2,2015
Americas,41.9,51.0,2015
Asia,52.4,61.5,2015
Europe,44.8,54.4,2015
Oceania,33.2,42.9,2015
Africa,44.5,58.3,2016
Americas,41.1,50.5,2016
Asia,51.6,60.9,2016
Europe,44.0,53.8,2016
Oceania,33.6,43.3,2016
Africa,44.0,57.7,2017
Americas,42.3,51.3,2017
Asia,52.5,61.6,2017
Europe,45.0,54.6,2017
Oceania,33.3,42.3,2017
Africa,44.9,58.3,2018
Americas,41.4,50.8,2018
Asia,52.3,61.4,2018
Europe,44.6,54.5,2018
Oceania,33.1,42.8,2018
Africa,44.9,58.4,2019
Americas,41.4,50.8,2019
Asia,52.3,61.2,2019
Europe,44.1,54.1,2019
Oceania,33.5,43.1,2019
