cont_ID,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_death_total_est,cvd_25_death_total_lb,cvd_25_death_total_ub,year
2,33797.552469452,18102.765189388312,50209.0012444932,49320.87617914692,26564.02682838408,72843.5364132591,83118.42864859893,44666.79201777239,123052.53765775231,1990
2,34621.7834745926,18567.12649190095,51367.025689565264,48597.78263492667,26168.07535374972,71812.4154371278,83219.56610951928,44735.20184565068,123179.44112669308,1991
2,29091.482942194554,15560.69036877571,43331.97828841066,46241.41418118451,24850.04042145568,68575.03047309532,75332.89712337907,40410.73079023138,111907.00876150596,1992
2,29069.55270774404,15520.53583328132,43397.47895739304,46816.66201531169,25129.44848498887,69606.7116034278,75886.21472305573,40649.98431827019,113004.19056082085,1993
2,30562.46298887051,16341.867940963217,45711.30741856873,47274.38297290341,25348.40879878537,70526.68726028434,77836.84596177391,41690.27673974859,116237.99467885308,1994
2,28965.0186332247,15452.15295344247,43439.49802196397,46663.00233196955,24986.38582924914,69785.01106257967,75628.02096519424,40438.53878269161,113224.50908454364,1995
2,28241.78496037472,15039.57945495158,42400.424923161896,45450.15619985743,24359.403368087616,67908.25512810798,73691.94116023215,39398.9828230392,110308.68005126988,1996
2,27144.77253185308,14481.827667264277,40660.33563125376,43862.28364688645,23506.71151309608,65509.40841313448,71007.05617873953,37988.53918036036,106169.74404438824,1997
2,31824.257125482804,16996.70669335523,47546.51116097894,44756.77542311911,24028.62790200838,66581.63791230578,76581.03254860191,41025.33459536361,114128.14907328472,1998
2,30594.676956575368,16382.446802364277,45615.46408433876,42563.35505327646,22860.23965086177,63219.314190837016,73158.03200985183,39242.68645322605,108834.77827517578,1999
2,25564.12503954842,13672.094709885208,38059.587203225456,41281.98058272166,22182.57526988744,61168.74650431985,66846.10562227009,35854.66997977265,99228.3337075453,2000
2,31761.405934567072,16998.673559465286,47223.5584067243,42219.7236572711,22712.256863024973,62434.38199148963,73981.12959183817,39710.93042249026,109657.94039821392,2001
2,35667.64054558586,19138.92954688313,52916.38781349606,41848.82624103235,22523.01660452044,61801.13788556571,77516.46678661821,41661.946151403565,114717.52569906178,2002
2,42682.21509945572,22893.20653761078,63365.59276823296,43708.47861313645,23532.24303855853,64621.38491135488,86390.69371259218,46425.44957616931,127986.97767958784,2003
2,35465.0927559924,18973.402918700223,52891.563914449536,40058.27428163861,21528.767981780114,59449.41195228032,75523.36703763102,40502.17090048034,112340.97586672986,2004
2,36116.06322749369,19267.21237808801,53898.81179990147,38451.20603828379,20630.69459070233,57195.96908956542,74567.26926577748,39897.90696879034,111094.7808894669,2005
2,38901.24118440063,20803.787876014183,58014.59795898383,38216.06503976526,20510.80869071384,56813.99274308907,77117.30622416589,41314.596566728025,114828.59070207288,2006
2,34559.88479025215,18482.407620779908,51620.45195818348,35601.28755002022,19096.500405288734,52975.4705989199,70161.17234027237,37578.908026068646,104595.92255710336,2007
2,37495.41670284018,20037.021961478244,55963.66749522416,35292.15955395141,18936.36812164313,52472.94735027441,72787.5762567916,38973.390083121376,108436.61484549857,2008
2,31589.98956545811,16882.742789251977,47191.945416105504,32482.27083544581,17424.671933265596,48298.542772441615,64072.26040090392,34307.41472251757,95490.48818854713,2009
2,33648.38718286381,17972.397575630675,50255.82051739684,32207.50913572415,17280.8202804196,47912.70025733906,65855.89631858795,35253.21785605028,98168.5207747359,2010
2,29259.63343418174,15605.441412595195,43797.34421389645,29922.88658700998,16037.63610854719,44608.58517614148,59182.52002119172,31643.07752114239,88405.92939003793,2011
2,34073.22891231926,18137.514797353862,51226.83971890366,30016.993248285635,16052.49337711216,44934.10613846493,64090.2221606049,34190.00817446602,96160.94585736858,2012
2,32229.512831686527,17174.45613944554,48513.84156619688,29164.78080119662,15588.70587995771,43732.93335421388,61394.29363288314,32763.16201940325,92246.77492041075,2013
2,32058.59374103245,17066.13213579844,48249.72363335385,28284.276477724896,15107.062882526172,42460.71991664009,60342.87021875735,32173.19501832461,90710.44354999394,2014
2,32859.99840552953,17453.971884003775,49585.10097788002,29165.064310737176,15548.469336941913,43962.40667662993,62025.06271626671,33002.441220945686,93547.50765450994,2015
2,31170.36872757723,16539.772552636932,47199.87703491013,28163.77543989565,14997.387528654195,42594.80312013833,59334.144167472885,31537.160081291127,89794.68015504847,2016
2,34513.05187303288,18292.60501397033,52640.65659193648,27589.905870799164,14639.35679410214,42036.22218994467,62102.95774383204,32931.96180807246,94676.87878188115,2017
2,32767.52070885908,17257.24980587743,50440.32932947244,27510.79076031624,14525.931292325717,42361.527564574535,60278.311469175314,31783.181098203146,92801.85689404696,2018
2,31330.774271430782,16433.090751976397,48666.955816123,26079.18517047264,13708.305017419689,40527.44776344638,57409.95944190343,30141.395769396084,89194.40357956938,2019
