cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_death_total_est,cvd_25_death_total_lb,cvd_25_death_total_ub,year
114906.71973792148,61542.45279805664,171714.35488697863,262663.08571456047,140590.7942656127,393704.3502460163,377569.805452482,202133.2470636693,565418.7051329949,1990
115979.01124585795,62062.66709841817,173579.269756746,263657.99086184544,141020.29478092518,395687.00192785007,379637.0021077034,203082.96187934332,569266.2716845961,1991
110830.00857666582,59203.81744638069,166262.52206846792,263972.4759899578,141176.84763906393,396384.5786343459,374802.4845666237,200380.66508544463,562647.1007028138,1992
114508.88853353789,61122.02097500652,172040.9923937072,268881.4910094643,143763.42659338517,404155.0877291761,383390.37954300223,204885.44756839168,576196.0801228833,1993
123422.84394744488,65909.32149398942,185616.5343404371,277202.21497008466,148174.18240044347,417321.7553191151,400625.05891752953,214083.5038944329,602938.2896595522,1994
129158.25456929706,68845.97689164661,194819.11876121152,278338.8177169461,148679.0018606088,419832.37748735095,407497.0722862432,217524.97875225544,614651.4962485625,1995
133824.5343292148,71421.09765825963,201496.5094117354,284825.64609822724,152228.70535227712,429267.05495333206,418650.1804274421,223649.8030105368,630763.5643650675,1996
132962.98596541802,71000.60115173917,199938.1334855413,285003.14375489624,152326.805939306,429408.9372689953,417966.1297203143,223327.4070910452,629347.0707545365,1997
149600.94906342492,79990.09219002954,224190.89652330047,297804.6388575526,159399.4096278505,447022.4971008433,447405.5879209775,239389.50181788,671213.3936241438,1998
143588.22734781992,76889.98972621403,214750.11891790983,288983.1358148944,154825.6250152017,432642.1611187664,432571.3631627143,231715.6147414157,647392.2800366762,1999
149223.84766717532,79966.15417785203,222760.95008386916,296282.6155219715,158849.11945796796,443194.3236346913,445506.4631891468,238815.27363582,665955.2737185603,2000
156770.20717089775,83939.80823467439,234014.5021356871,299300.5236418617,160423.00891394884,447502.1629579131,456070.7308127595,244362.81714862323,681516.6650936003,2001
166344.42416816796,89089.90397806681,248897.543239466,305335.7218994695,163620.05319223346,457266.092325448,471680.1460676375,252709.95717030027,706163.635564914,2002
189640.91940177104,101587.09651568907,283746.89118177287,321052.51986411924,172111.79021843342,481015.3260958546,510693.4392658903,273698.8867341225,764762.2172776274,2003
187275.7998315775,100096.32049018632,280982.91669290105,311826.2832918752,166971.13247917194,468389.1828958123,499102.0831234527,267067.45296935824,749372.0995887134,2004
205480.6573409948,109909.83797113907,308744.31875174976,323849.0560347158,173308.78404443522,487203.5407367022,529329.7133757106,283218.6220155743,795947.859488452,2005
208979.71692100423,111807.55263024596,314200.3932039743,321481.1947958356,171932.08217010807,484461.6692573492,530460.9117168399,283739.634800354,798662.0624613236,2006
219339.014892841,117438.88212701112,329103.13030268,328944.0803853686,176201.23436034645,494541.2882680431,548283.0952782095,293640.11648735753,823644.4185707232,2007
237169.4908224656,127243.1668310072,354627.6291194554,335012.4197380379,179569.3171488462,502397.011873361,572181.9105605036,306812.4839798534,857024.6409928164,2008
228512.0303850048,122589.89200058156,341558.7695814433,331653.7616222357,177817.25437646208,496588.32493448944,560165.7920072405,300407.1463770437,838147.0945159327,2009
243796.81806928132,131050.14808038104,363599.2736976337,340558.59389714355,182781.869155416,509057.5724058061,584355.4119664249,313832.017235797,872656.8461034398,2010
246729.58098434523,132302.71585681927,368672.4526320847,336005.889902413,180221.1661392199,503076.09369298007,582735.4708867583,312523.8819960392,871748.5463250647,2011
264061.8092192061,141405.0102742585,395620.7990271637,340464.33971077006,182457.47693953523,510687.0760619657,604526.1489299762,323862.48721379373,906307.8750891294,2012
283003.3576741768,151842.42551766845,424688.51675119926,340623.4077837207,182540.7599782973,511860.564946972,623626.7654578974,334383.18549596576,936549.0816981712,2013
276818.7532429506,148047.1816356465,417502.9216274778,333722.07883207966,178484.3589154852,503841.32005871,610540.8320750303,326531.5405511317,921344.2416861878,2014
257991.18999525803,137721.85678636807,390153.251988714,316640.62185115466,169089.19384975955,479226.8513098192,574631.8118464127,306811.0506361276,869380.1032985331,2015
251198.6003388936,133691.0453163903,382102.19783456856,299718.03990966413,159427.2566535493,456877.10801013774,550916.6402485577,293118.3019699396,838979.3058447063,2016
267032.6717600477,141622.35887432488,409587.94104609184,300917.10266260605,159504.06601794687,462260.2139315923,567949.7744226537,301126.4248922717,871848.1549776841,2017
267743.7833119626,141637.6862391844,412053.54773428815,298090.5623881538,157699.55242921278,459865.7816879172,565834.3457001164,299337.2386683972,871919.3294222053,2018
262528.85645982914,138266.72246705022,408352.4869162879,289522.15675057843,152385.75115235813,450983.1339362511,552051.0132104076,290652.4736194083,859335.6208525391,2019
