index,Region,M0,A,B,C,M1,pt1,pt2,pt3,pt4,total,temp,P1,P2,P3,P4,Sum
0,Global,,,,,,46,7.2,-6.1,55.4,128.5,102.5,57.7,9.0,-7.6,69.5,128.5
1,Europe,34721.88057,40868.44641,43769.71474,46057.7878,32340.50447,14.7,6.1,4.2,-30.8,-6.9,-5.8,17.5,7.3,5.0,-36.6,-6.9
2,Northern Europe,2658.8993,3651.488525,3681.11683,3953.793738,1354.231142,37.3,0.8,7.4,-65.7,-49.1,-20.2,90.7,1.9,18.0,-159.7,-49.1
3,Western Europe,9700.985993,11552.23554,11872.88237,12355.73861,7392.270142,19.1,2.8,4.1,-40.2,-23.8,-14.2,32.0,4.7,6.9,-67.4,-23.8
4,Southern Europe,8196.174053,10270.49434,11684.10245,12460.88356,9227.431342,25.3,13.8,6.6,-25.9,12.6,19.8,16.1,8.8,4.2,-16.5,12.6
5,Eastern Europe,14165.82122,15394.228,16531.61309,17287.37188,14366.57185,8.7,7.4,4.6,-16.9,1.4,3.8,3.2,2.7,1.7,-6.2,1.4
6,Americas,28276.48981,40263.13763,40690.62125,47598.86867,23416.08899,32.4,1.1,12,-60.8,-17.2,-15.3,36.4,1.2,13.5,-68.4,-17.2
7,North America,27673.77302,39465.5348,39793.16161,46806.13679,20994.39048,25.6,0.8,13.6,-60.1,-24.1,-20.1,30.7,1.0,16.3,-72.1,-24.1
8,South America,602.7167908,797.6028235,897.4596412,792.7318777,2421.698502,32.3,12.5,-11.7,205.5,301.8,238.6,40.9,15.8,-14.8,259.9,301.8
9,Asia,51978.25401,82688.19141,92647.30846,73023.30243,202793.7466,59.1,12,-21.2,177.7,290.2,227.6,75.4,15.3,-27.0,226.6,290.2
10,Western Asia,3577.067381,6872.784861,7504.507902,7035.712373,7798.94908,92.1,9.2,-6.2,10.8,118,105.9,102.6,10.3,-6.9,12.0,118
11,Central Asia,1133.905895,1939.046554,1703.362795,1696.223286,1671.630402,71,-12.2,-0.4,-1.4,47.4,57,59.0,-10.1,-0.3,-1.2,47.4
12,South Asia,10469.33309,23731.10069,22479.15867,16697.01026,51473.39229,126.7,-5.3,-25.7,208.3,391.7,304,163.3,-6.8,-33.1,268.4,391.7
13,Southeast Asia,,,,,,,,,,,,0.0,0.0,0.0,0.0,
14,Eastern Asia,32678.61891,45395.34796,56161.73338,42775.27939,128649.4138,38.9,23.7,-23.8,200.8,293.7,239.6,47.7,29.1,-29.2,246.1,293.7
15,Africa,3613.383456,7962.63432,6788.120461,6377.173316,8703.167283,120.4,-14.8,-6.1,36.5,140.9,136,124.7,-15.3,-6.3,37.8,140.9
16,North Africa,2345.119428,4165.789864,4158.12472,3793.102947,5895.384043,77.6,-0.2,-8.8,55.4,151.4,124,94.7,-0.2,-10.7,67.6,151.4
17,Sub-Saharan Africa,1268.264028,3796.844456,2629.995741,2584.070369,2807.78324,199.4,-30.7,-1.7,8.7,121.4,175.7,137.8,-21.2,-1.2,6.0,121.4
18,Oceania,,,,,,,,,,,,0.0,0.0,0.0,0.0,
19,Australasia,,,,,,,,,,,,0.0,0.0,0.0,0.0,
20,Other Oceania,,,,,,,,,,,,0.0,0.0,0.0,0.0,
