M49R,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Australia and New Zealand,0.0,0.0,0.0,100.0,100.0,200.0
Central Asia,1100.0,600.0,1700.0,4600.0,2500.0,6800.0
Eastern Asia,32700.0,17500.0,48900.0,81500.0,43700.0,121700.0
Eastern Europe,14200.0,7600.0,21100.0,26400.0,14200.0,39000.0
North America,27700.0,14900.0,41100.0,13700.0,7300.0,20300.0
Northern Africa,2300.0,1200.0,3600.0,8600.0,4600.0,13100.0
Northern Europe,2700.0,1400.0,3900.0,4600.0,2500.0,6700.0
Other Oceania,0.0,0.0,0.0,0.0,0.0,0.0
South America,600.0,300.0,900.0,1600.0,800.0,2400.0
Southeastern Asia,300.0,200.0,500.0,13900.0,7400.0,21100.0
Southern Asia,10500.0,5600.0,15800.0,67600.0,36100.0,101900.0
Southern Europe,8200.0,4400.0,12200.0,11000.0,5900.0,16400.0
Sub-Saharan Africa,1300.0,700.0,2000.0,13400.0,7000.0,20800.0
Western Asia,3600.0,1900.0,5400.0,5700.0,3000.0,8600.0
Western Europe,9700.0,5200.0,14300.0,9700.0,5200.0,14200.0
