M49R,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Australia and New Zealand,0.0,0.0,0.0,6.4,3.4,9.6
Central Asia,13.7,7.3,20.3,29.7,16.0,43.9
Eastern Asia,9.4,5.0,14.0,16.3,8.7,24.3
Eastern Europe,11.6,6.2,17.3,35.0,18.8,51.9
North America,15.3,8.2,22.7,19.5,10.5,29.0
Northern Africa,8.4,4.5,12.8,23.3,12.4,35.2
Northern Europe,6.4,3.4,9.4,27.5,14.8,40.6
Other Oceania,0.0,0.0,0.0,0.3,0.1,0.4
South America,0.5,0.3,0.8,4.9,2.6,7.3
Southeastern Asia,0.5,0.2,0.7,9.1,4.8,13.8
Southern Asia,7.5,4.0,11.3,15.6,8.3,23.5
Southern Europe,14.2,7.6,21.1,28.3,15.3,42.0
Sub-Saharan Africa,2.5,1.3,3.8,10.9,5.7,16.9
Western Asia,10.0,5.3,15.1,21.6,11.5,32.7
Western Europe,10.8,5.8,16.0,29.3,15.8,42.9
