Region,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_omr_urban_est,cvd_25_omr_urban_lb,cvd_25_omr_urban_ub,cvd_25_omr_rural_est,cvd_25_omr_rural_lb,cvd_25_omr_rural_ub
Africa,210.0,110.0,330.0,-180.0,-100.0,-250.0,0.0,0.0,0.0,-0.09,-0.05,-0.13
North Africa,150.0,80.0,230.0,-60.0,-30.0,-80.0,0.06,0.03,0.1,-0.09,-0.05,-0.12
Sub-Sahara Africa,60.0,30.0,90.0,-120.0,-70.0,-170.0,-0.01,-0.0,-0.01,-0.08,-0.04,-0.11
Americas,-190.0,-110.0,-260.0,-300.0,-160.0,-440.0,-0.08,-0.04,-0.11,-0.12,-0.07,-0.17
North America,-280.0,-150.0,-390.0,-280.0,-150.0,-420.0,-0.16,-0.09,-0.23,-0.18,-0.1,-0.26
South America,80.0,40.0,130.0,-20.0,-10.0,-20.0,0.02,0.01,0.03,-0.01,-0.0,-0.01
Asia,6550.0,3490.0,9980.0,3160.0,1670.0,4930.0,0.25,0.13,0.39,0.15,0.08,0.23
Central Asia,30.0,20.0,50.0,-60.0,-30.0,-70.0,0.01,0.0,0.04,-0.14,-0.08,-0.15
East Asia,4330.0,2310.0,6580.0,1660.0,880.0,2570.0,0.45,0.24,0.68,0.34,0.19,0.53
Southeast Asia,340.0,180.0,520.0,220.0,110.0,340.0,0.12,0.06,0.18,0.07,0.04,0.11
South Asia,1570.0,840.0,2390.0,1510.0,800.0,2330.0,0.18,0.09,0.27,0.1,0.05,0.15
Western Asia,170.0,90.0,280.0,0.0,-0.0,20.0,0.02,0.01,0.04,-0.05,-0.03,-0.06
Europe,120.0,60.0,210.0,-890.0,-480.0,-1280.0,-0.02,-0.01,-0.02,-0.19,-0.1,-0.26
Eastern Europe,170.0,80.0,270.0,-410.0,-220.0,-580.0,0.06,0.03,0.1,-0.1,-0.06,-0.12
Northern Europe,-10.0,-10.0,-20.0,-100.0,-50.0,-150.0,-0.04,-0.02,-0.06,-0.32,-0.17,-0.46
Southern Europe,30.0,10.0,60.0,-180.0,-100.0,-260.0,-0.04,-0.02,-0.05,-0.17,-0.09,-0.24
Western Europe,-70.0,-40.0,-90.0,-210.0,-110.0,-300.0,-0.08,-0.05,-0.12,-0.33,-0.18,-0.47
Oceania,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03,-0.02,-0.05
Australasia,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05,-0.03,-0.08
Other Oceania,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-0.0,-0.01
