M49R,cvd_25_omr_urban_est,cvd_25_omr_urban_lb,cvd_25_omr_urban_ub,cvd_25_omr_rural_est,cvd_25_omr_rural_lb,cvd_25_omr_rural_ub
Australia and New Zealand,0.0,0.0,0.0,2.7,1.4,4.2
Central Asia,5.3,2.7,8.7,9.0,4.6,14.7
Eastern Asia,14.0,7.4,21.8,15.4,8.1,23.9
Eastern Europe,6.8,3.5,10.7,19.9,10.4,31.3
North America,4.4,2.3,6.9,5.9,3.1,9.2
Northern Africa,4.4,2.3,6.9,6.7,3.5,10.6
Northern Europe,1.6,0.8,2.4,8.5,4.5,13.0
Other Oceania,0.0,0.0,0.0,0.1,0.1,0.2
South America,0.7,0.3,1.0,2.3,1.2,3.6
Southeastern Asia,2.7,1.4,4.2,5.5,2.9,8.6
Southern Asia,7.3,3.9,11.2,8.4,4.5,13.0
Southern Europe,8.1,4.3,12.6,14.7,7.8,22.7
Sub-Saharan Africa,0.7,0.3,1.1,1.9,1.0,3.0
Western Asia,4.1,2.1,6.7,6.8,3.5,11.0
Western Europe,4.6,2.4,7.1,10.6,5.6,16.2
