M49R,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Australia and New Zealand,0.0,0.0,0.0,1100.0,600.0,1600.0
Central Asia,37400.0,19200.0,61300.0,70900.0,36200.0,116800.0
Eastern Asia,2224200.0,1172700.0,3466100.0,1861100.0,980800.0,2898200.0
Eastern Europe,241200.0,125500.0,379600.0,265300.0,138700.0,417000.0
North America,331900.0,174800.0,512100.0,106400.0,55900.0,165100.0
Northern Africa,126400.0,65000.0,202100.0,156600.0,80600.0,250500.0
Northern Europe,18200.0,9600.0,27600.0,21500.0,11500.0,32700.0
Other Oceania,0.0,0.0,0.0,200.0,100.0,300.0
South America,47800.0,25000.0,73000.0,25600.0,13400.0,39900.0
Southeastern Asia,178200.0,92700.0,282700.0,404400.0,210400.0,640500.0
Southern Asia,1196500.0,633200.0,1845100.0,2382000.0,1259000.0,3687200.0
Southern Europe,115000.0,60800.0,176400.0,85400.0,45100.0,131300.0
Sub-Saharan Africa,63400.0,32300.0,103400.0,247200.0,125900.0,404800.0
Western Asia,160200.0,81400.0,263000.0,110700.0,56600.0,180500.0
Western Europe,90700.0,48200.0,137000.0,45100.0,24100.0,67800.0
