M49R,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Australia and New Zealand,0.0,0.0,0.0,100.0,0.0,100.0
Central Asia,1700.0,900.0,2700.0,3100.0,1600.0,5100.0
Eastern Asia,128600.0,67900.0,199900.0,106600.0,56300.0,165700.0
Eastern Europe,14400.0,7500.0,22600.0,15800.0,8300.0,24800.0
North America,21000.0,11100.0,32600.0,6500.0,3400.0,10200.0
Northern Africa,5900.0,3100.0,9400.0,7100.0,3700.0,11200.0
Northern Europe,1400.0,700.0,2100.0,1600.0,800.0,2400.0
Other Oceania,0.0,0.0,0.0,0.0,0.0,0.0
South America,2400.0,1300.0,3700.0,1400.0,700.0,2100.0
Southeastern Asia,8100.0,4200.0,12800.0,18600.0,9700.0,29300.0
Southern Asia,51500.0,27300.0,79200.0,102000.0,54000.0,157700.0
Southern Europe,9200.0,4800.0,14300.0,6600.0,3500.0,10200.0
Sub-Saharan Africa,2800.0,1400.0,4500.0,10800.0,5500.0,17500.0
Western Asia,7800.0,4000.0,12700.0,5400.0,2800.0,8800.0
Western Europe,7400.0,3900.0,11300.0,3700.0,1900.0,5500.0
