M49R,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Australia and New Zealand,0.0,0.0,0.0,4.3,2.3,6.6
Central Asia,13.6,7.0,22.1,24.3,12.4,39.7
Eastern Asia,21.6,11.4,33.6,24.0,12.7,37.4
Eastern Europe,10.2,5.3,16.1,29.8,15.6,46.7
North America,7.7,4.1,12.0,11.2,5.9,17.4
Northern Africa,11.5,6.0,18.2,18.9,9.8,30.0
Northern Europe,2.3,1.2,3.6,12.7,6.7,19.4
Other Oceania,0.0,0.0,0.0,0.3,0.2,0.5
South America,1.3,0.7,2.0,4.8,2.5,7.6
Southeastern Asia,5.9,3.1,9.3,11.9,6.2,18.7
Southern Asia,18.4,9.7,28.3,21.4,11.3,33.0
Southern Europe,10.9,5.7,16.9,19.9,10.5,30.8
Sub-Saharan Africa,2.6,1.3,4.2,7.7,3.9,12.4
Western Asia,9.3,4.8,15.2,16.7,8.6,27.0
Western Europe,6.6,3.5,10.1,15.1,8.0,23.0
